TNFRSF	chr1	1211340	1214153
TNFRSF1	chr1	1203508	1206592
ATAD3	chr1	1471765	1497848
MTND1P2	chr1	629062	629433
RPL7P	chr1	8786211	8786913
MTCO3P1	chr1	634376	634922
DDX11L1	chr1	182696	184174
PRDM1	chr1	3069168	3438621
MTND2P2	chr1	629640	630683
ACAP	chr1	1292390	1309609
TP73-AS	chr1	3658938	3668772
CAMTA1-IT	chr1	7368942	7370270
PUSL	chr1	1308597	1311677
PEX1	chr1	2403964	2413797
MTCO1P1	chr1	631074	632616
CPT	chr1	1324756	1328896
SK	chr1	2228319	2310213
MEGF	chr1	3487951	3611508
TAS1R	chr1	1331280	1335314
CICP	chr1	487101	489906
WBP1LP	chr1	674842	675265
LINC0134	chr1	3944547	3949024
ERRFI	chr1	8004404	8026309
EEF1DP	chr1	4175528	4175899
LINC0164	chr1	4571481	4594016
LINC0177	chr1	4412027	4424689
MTATP8P	chr1	633535	633741
MTCO2P1	chr1	632757	633438
LINC0278	chr1	5086459	5090899
PLCH	chr1	2425980	2505532
SPSB	chr1	9292894	9369532
RPL23AP2	chr1	347982	348366
LZI	chr1	9922113	9943407
MZT1P	chr1	9780822	9781240
HES	chr1	6244179	6245578
SLC2A	chr1	9035106	9088478
NDUFB4P	chr1	1378666	1379032
MTCYBP4	chr1	11425257	11425821
ENO	chr1	8861000	8879190
PLEKHM	chr1	15684320	15734769
B3GALT	chr1	1232237	1235041
DHRS	chr1	12567910	12618210
CA	chr1	8945867	8975092
RPL22P	chr1	16369150	16369530
LRRC3	chr1	13474973	13514003
NMNAT	chr1	9943428	9985501
MTATP6P	chr1	633696	634376
CAMTA1-AS	chr1	7382487	7389754
MFFP	chr1	15191828	15192845
PRAMEF1	chr1	13222705	13226106
PGAM1P1	chr1	10058671	10059648
CCDC2	chr1	3746460	3771645
CHD	chr1	6101787	6180321
VAMP	chr1	7771296	7781432
FLJ3745	chr1	15834474	15848147
PRAMEF29	chr1	12926162	12928253
DISP	chr1	11479155	11537551
CLSTN	chr1	9728926	9823984
MMEL	chr1	2590639	2633016
SCNN1	chr1	1280436	1292029
TMEM5	chr1	15152532	15220478
C1orf12	chr1	10946471	10982037
WASH9	chr1	185217	195411
TTLL1	chr1	1173880	1197936
RPL39P	chr1	11232963	11233112
TPRG1	chr1	3625015	3630127
FBXO4	chr1	16246840	16352480
C1QTNF1	chr1	1242446	1246722
ALDH4A	chr1	18871430	18902724
RER	chr1	8352397	8848921
CLCN	chr1	11806096	11848079
TTC3	chr1	2635976	2801717
PRAMEF	chr1	12857086	12861909
CELA2	chr1	15456728	15472091
SPE	chr1	15836095	15940456
PANK	chr1	2508537	2526597
WRAP7	chr1	3630767	3652761
TMEM274	chr1	9950572	9960787
VPS13	chr1	12230030	12512047
HTR	chr1	19664875	19680966
RPL10P1	chr1	12220794	12221109
ARHGEF1	chr1	3454665	3481113
RBP	chr1	9997206	10016021
GPR15	chr1	9100305	9129102
PRAMEF32	chr1	13273539	13275627
ZBTB4	chr1	22428838	22531157
ENO1-AS	chr1	8878835	8879894
MICOS10-NBL	chr1	19597067	19656927
CFL1P	chr1	10990978	10991797
NPHP	chr1	5862811	5992473
TMEM20	chr1	9588911	9614877
LINC0171	chr1	8201518	8215210
MTO	chr1	11106535	11262551
TP7	chr1	3652516	3736201
ANGPTL	chr1	11189355	11195981
RUNX3-AS	chr1	24961345	24963097
PARK	chr1	7954291	7985505
TNFRSF14-AS	chr1	2549920	2557031
MT1XP	chr1	16241213	16241398
CLIC	chr1	24745382	24844321
NPM1P3	chr1	27206930	27207796
LINC0178	chr1	12822686	12823159
GPR	chr1	27392622	27395814
ACTG1P2	chr1	27325329	27325796
DPPA2P	chr1	26519354	26520250
ARHGEF19-AS	chr1	16197854	16198357
CAMTA1-D	chr1	6783892	6784843
UQCRH	chr1	15807169	15809348
CD164L	chr1	27379176	27383333
DYNLL1P	chr1	18513118	18513383
SZRD	chr1	16352575	16398145
PDIK1	chr1	26111165	26125555
CAMTA	chr1	6785454	7769706
NECAP	chr1	16440721	16460078
IGSF21-AS	chr1	18166929	18179346
ZNF593O	chr1	26169516	26171831
FBXO	chr1	11664200	11674354
PPIAP3	chr1	22322840	22323331
LAPTM	chr1	30732469	30757774
SLC30A	chr1	26037252	26046118
PHACTR	chr1	28369582	28500364
IFITM3P	chr1	25125053	25125454
CNKSR	chr1	26177484	26189884
FAM110	chr1	26159079	26163962
ICM	chr1	6221193	6235972
WASF	chr1	27404230	27490167
MED1	chr1	28329002	28335965
MMEL1-AS	chr1	2632568	2636620
SLC9A	chr1	27098809	27166981
SNRPEP	chr1	27211265	27211484
LDLRAP	chr1	25543606	25568886
RNF207-AS	chr1	6204840	6205780
ATP5IF	chr1	28236109	28246906
SDC	chr1	30869466	30908758
PIK3CD-AS	chr1	9652610	9654586
CHCHD3P	chr1	27200834	27201473
PAFAH	chr1	25959767	25998117
WDTC	chr1	27234632	27308636
DNAJC	chr1	28199456	28233029
RPL5P	chr1	35350722	35351607
SESN	chr1	28259518	28282491
SERINC	chr1	31409565	31434680
AJAP	chr1	4654609	4792534
PTAF	chr1	28147166	28193936
RPS6KA	chr1	26529761	26575030
NKAIN	chr1	31179745	31239887
SNRNP4	chr1	31259568	31296788
SLC25A3	chr1	9539465	9585173
NBPF2	chr1	21424625	21427967
FBLIM	chr1	15756607	15786594
GJB	chr1	34781214	34786369
LINC0175	chr1	29329620	29350114
MATN1-AS	chr1	30718504	30726827
DNAJC1	chr1	15526813	15592379
SYTL	chr1	27342020	27353937
EYA	chr1	27970344	28088637
