IL1RAPL	chrX	104566199	105767829
IL1RAPL	chrchrX	104566199	105767829
ADGRL	chr1	78889764	79282124
CREG	chr1	167529117	167553805
SPATA1	chr1	217631324	217871696
AFF	chr2	99545419	100192428
ARHGAP1	chr2	143091362	143768352
CD8	chr2	86815339	86861924
COL4A	chr2	227164624	227314792
CTNNA	chr2	79185231	80648861
DPP1	chr2	114442299	115845780
LINC0027	chr2	13710531	14400963
LINC0132	chr2	33706886	34738231
LRP1	chr2	140231423	142131016
LRP1	chrchr2	140231423	142131016
NRI	chr2	6819463	6840464
PGM5P	chr2	113541937	113563298
PPP1R1	chr2	181954241	182131398
CD9	chr3	111292719	111665750
CNTN	chr3	1092658	1404217
IL5R	chr3	3066324	3126613
LINC0181	chr3	33956972	34677247
LINC0181	chrchr3	33956972	34677247
PHLDB	chr3	111732497	111976517
RSRC	chr3	158105855	158545730
BMP	chr4	81030708	81057627
ENOPH	chr4	82430590	82461177
PCDH	chr4	30720415	31146805
PCDH	chrchr4	30720415	31146805
ARRDC3-AS	chr5	91380349	91612566
C5orf3	chr5	43486709	43515148
MCTP	chr5	94703690	95285094
TTC	chr5	160009113	160065543
ARHGAP1	chr6	129576132	129710177
EY	chr6	63719980	65707226
JARID	chr6	15246069	15522042
KHDRBS	chr6	61679961	62286225
CCDC20	chr7	45859994	45873082
RALY	chr8	84182787	84921844
STK	chr8	98371228	98942827
ZNF1	chr8	144930358	144950888
FRG1K	chr9	65646982	65652679
MIR31H	chr9	21453802	21559900
PGM	chr9	68328308	68531061
CTNNA	chr10	65912457	67763637
CTNNA	chrchr10	65912457	67763637
DIP2	chr10	274190	689668
MALRD	chr10	19048801	19790401
TSPAN1	chr10	80454166	80533124
FOLH	chr11	49145092	49208638
GRM	chr11	88504576	89065982
MTND1P2	chr12	41699391	41700251
PIK3C2	chr12	18242961	18648416
RERG	chr12	18080869	18320107
BIV	chr13	102799119	102841533
BIVM-ERCC	chr13	102799110	102875994
LINC0119	chr13	46455131	46515958
OBI1-AS	chr13	77919689	78617328
LETR	chr15	95186634	95327129
SNHG1	chr15	24978583	25420336
UBE3	chr15	25333728	25439051
PDXDC	chr16	14974591	15139339
SNX29P	chr16	21376648	21386064
WWO	chr16	78099400	79212667
MARCHF10-D	chr17	62808500	62836371
SOCS	chr17	38351844	38405593
CCDC17	chr18	32937402	33441101
DC	chr18	52340197	53535903
GATA	chr18	22169589	22202528
GREB1	chr18	21242232	21526112
LDLRAD	chr18	13217498	13652755
PTPR	chr18	7566782	8406861
PTPR	chrchr18	7566782	8406861
ROCK	chr18	20946906	21111813
ROCK	chrchr18	20946906	21111813
SLC14A	chr18	45212995	45683688
CACNA1	chr19	13206442	13633025
SLX4I	chr20	10435305	10636829
TMPRSS1	chr21	18269116	18485879
USP2	chr21	15729982	15880064
